Park Name,County,Park Identifier,Park Address,City,Zip,Phone,Fire Authority,Jurisdiction,MH Spaces,RV Lots W/Drains,RV Lots W/O Drains,Operated by
PEPPER TREE TP,LOS ANGELES,19-0629-MP,"2150 E 87TH ST,  LOS ANGELES,  CA 90002", LOS ANGELES,90002, (310) 378-5353,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",0,18,0,"SAVANT, C, C/O MANDELBAUM & ASSOC 901 MANHATTAN BEACH BLVD., MANHATTAN BEACH, CA 90266"
SHADYLANE TP,LOS ANGELES,19-0631-MP,"2826 MEEKER AVE,  EL MONTE,  CA 91732", EL MONTE,91732, (714) 827-1252,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",17,0,0,"STAUCH, DOROTHY, PO BOX 1053, LOS ALAMITOS, CA 90720"
SHADY LANE TRAILER PARK,LOS ANGELES,19-0632-MP,"4523 CECELIA ST,  CUDAHY,  CA 90201", CUDAHY,90201, (818) 442-0383,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",26,0,0,"4523 CECELIA STREET LLC, PO BOX 21357, EL CAJON, CA 92021"
EDWARDS TRAILER CT,LOS ANGELES,19-0642-MP,"2621 NEVADA ST,  EL MONTE,  CA 91733", EL MONTE,91733, (818) 910-1100,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",13,0,0,"TAN, ZAKA, PO BOX 5722, HACIENDA HEIGHTS, CA 91745"
RAINBOW,LOS ANGELES,19-0644-MP,"10124 GARVEY AVE,  EL MONTE,  CA 91731", EL MONTE,91731, (909) 278-2494,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",40,0,0,"BRAXTON JEANS INC., 1026 SINGING WOOD DR, ARCADIA, CA 91006"
SKYLINE MOTEL\MP,LOS ANGELES,19-0652-MP,"1451 W HOLT AVE,  POMONA,  CA 91768", POMONA,91768, (818) 910-1100,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21,0,0,"LEGACY GROUP INVESTMENTS LLC, 516 N DIAMOND BAR BLVD #10, DIAMOND BAR, CA 91765"
SMITHY TP,LOS ANGELES,19-0659-MP,"735 N LOREN AVE,  AZUSA,  CA 91702", AZUSA,91702, (626) 339-8369,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",18,0,0,"CMF PARTNERSHIP LLC, 530 N FIRST AVE, COVINA, CA 91723"
RETREAT TP,LOS ANGELES,19-0661-MP,"25841 WALNUT ST,  LOMITA,  CA 90717", LOMITA,90717, (310) 530-9501,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",41,0,0,"LINDLEY, DAN, 1815 LOMITA BLVD, LOMITA, CA 90717"
WESTLAND SANTA FE MHP,LOS ANGELES,19-0664-MP,"1680 TARTAR LN,  COMPTON,  CA 90221", COMPTON,90221, (310) 639-7130,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",42,0,0,"57TH SAGA LLC, 520 W WILLOW ST, LONG BEACH, CA 90806"
STARLITE TP,LOS ANGELES,19-0673-MP,"21926 S VERMONT,  TORRANCE,  CA 90502", TORRANCE,90502, (310) 618-1740,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",75,0,0,"RIGLIN, KAROLIN, 2336 SANTA FE AVE, TORRANCE, CA 90501"
SUNNYSIDE TRAILER PARK,LOS ANGELES,19-0680-MP,"404 S CENTRAL,  COMPTON,  CA 90220", COMPTON,90220, (562) 866-2289,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",19,0,0,"BAKER, EUNICE, 16410 CHICAGO AVE, BELLFLOWER, CA 90706"
SUNSET MHP,LOS ANGELES,19-0682-MP,"13418 S LAKEWOOD BLVD,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (310) 633-1884,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",30,0,0,"SMITH, ELMER, C /O MERIDIAN PROP, MGMT P.O. BOX 1007, TORRANCE, CA 90505"
JOHNSONS MP,LOS ANGELES,19-0683-MP,"723 W AVE I,  LANCASTER,  CA 93534", LANCASTER,93534, (310) 633-1884,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HOUSING AND NEIGHBORHOOD REVITALIZATION, MOBILEHOME PARKS PROGRAM, 44933 NORTH FERN AVENUE, LANCASTER, CA 93534",87,0,0,"WESTERN MHC MANAGEMENT, 185 E SIERRA MADRE BLVD, SIERRA MADRE, CA 91024"
TEDS TP,LOS ANGELES,19-0684-MP,"15828 E WHITTIER BLVD,  WHITTIER,  CA 90603", WHITTIER,90603, (999) 947-1219,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",9,0,0,"BOELTL, LANNING, 14262 EASTRIDGE DR, WHITTIER, CA 90602"
THRIFTY TP,LOS ANGELES,19-0688-MP,"12703 S SAN PEDRO ST,  LOS ANGELES,  CA 90061", LOS ANGELES,90061, (866) 953-6112,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",35,0,0,"CASTROBRAN, ERIC, PO BOX 70220, PASADENA, CA 91117"
TOKTAGOD FARMS,LOS ANGELES,19-0690-MP,"10107 GARVEY AVE,  EL MONTE,  CA 91731", EL MONTE,91731, (213) 777-9175,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",30,0,0,"WU, CHAO, 401 E LEMON AVE, ARCADIA, CA 91006"
TOLER AVENUE TP,LOS ANGELES,19-0692-MP,"7248 TOLER AVE,  BELL GARDENS,  CA 90201", BELL GARDENS,90201, (310) 928-0049,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",5,0,0,"SANDOVAL, HERMINIO, PO BOX 1063, DOWNEY, CA 90240"
EL RANCHO MHP,LOS ANGELES,19-0694-MP,"16002 S ATLANTIC,  COMPTON,  CA 90221", COMPTON,90221, (602) 632-7555,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",157,0,0,"EL RANCHO MHP LLC, 2141 E. BROADWAY ROAD # 105, TEMPE, AZ 85282"
ABC MHP,LOS ANGELES,19-0696-MP,"8006 S ATLANTIC AVE,  CUDAHY,  CA 90201", CUDAHY,90201, (310) 632-7555,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",68,0,0,"B & D NORTON PROPERTIES INC, 112 ARISTA, SAN CLEMENTE, CA 92673"
TOWN AND COUNTRY TRAILER PARK,LOS ANGELES,19-0697-MP,"375 E SAN BERNARDINO RD,  COVINA,  CA 91723", COVINA,91723, (818) 915-1344,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21,0,0,"BROWNSTEIN, PETER, PO BOX 266, TEMPLE CITY, CA 91780"
TRAILERLAND TRAILER PARK,LOS ANGELES,19-0702-MP,"7233 SOMERSET BLVD,  PARAMOUNT,  CA 90723", PARAMOUNT,90723, (714) 391-3932,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21,0,0,"TGG HOLDINGS LLC, 13356 ROWEN CT, EASTVALE, CA 92880"
ELMS MOBILE ESTATES,LOS ANGELES,19-0707-MP,"8527 WHITTIER BLVD,  PICO RIVERA,  CA 90660", PICO RIVERA,90660, (310) 948-3755,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",25,0,0,"DIAZ, IRENE, 7128 FARMLAND AVE, PICO RIVERA, CA 90660"
ROSE TERRACE MP,LOS ANGELES,19-0713-MP,"9522 GIOVANE ST,  S EL MONTE,  CA 91733", S EL MONTE,91733, (818) 448-2810,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",46,0,0,"SO EL MONTE INVESTMENT LLC, 3592 ROSEMEAD BLVD #199, ROSEMEAD, CA 91770"
BLUE SKIES MHP,LOS ANGELES,19-0714-MP,"1717 E AVE I,  LANCASTER,  CA 93535", LANCASTER,93535, (661) 794-3673,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HOUSING AND NEIGHBORHOOD REVITALIZATION, MOBILEHOME PARKS PROGRAM, 44933 NORTH FERN AVENUE, LANCASTER, CA 93534",101,0,0,"SILVER VALLEY INVESTMENT LLC, 2478 STEVENS AVE., ROSEMEAD, CA 91770"
HALLDALE MHP,LOS ANGELES,19-0715-MP,"1515 W 135TH ST,  GARDENA,  CA 90249", GARDENA,90249, (805) 942-7625,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",35,0,0,"HALLDALE TRAILER PARK LLC, PO BOX 3388, MANHATTAN BEACH, CA 90266"
GARDENA MHP,LOS ANGELES,19-0716-MP,"13801 S VERMONT AVE,  GARDENA,  CA 90247", GARDENA,90247, (213) 487-0800,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",66,0,0,"GARDENA MHP LLC, 3511 DEL PASO RD, SUITE 160147, SACRAMENTO, CA 95835"
BELL GARDENS TRAILER PARK,LOS ANGELES,19-0717-MP,"5943 CECILA,  BELL GARDENS,  CA 90201", BELL GARDENS,90201, (310) 927-4972,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20,0,0,"SAVANT, BARBARA, 135 NORTHSTAR MALL, MARINA DEL REY, CA 90292"
SHADY ELMS MOBILE HOME & RV PARK,LOS ANGELES,19-0718-MP,"43155 N SIERRA HWY,  LANCASTER,  CA 93534", LANCASTER,93534, (661) 948-3350,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HOUSING AND NEIGHBORHOOD REVITALIZATION, MOBILEHOME PARKS PROGRAM, 44933 NORTH FERN AVENUE, LANCASTER, CA 93534",64,0,3,"LOW MAC,LLC, PO BOX 3025, VISALIA, CA 93278"
VAGABOND VILLA PARK,LOS ANGELES,19-0727-MP,"10037 GARVEY AVE,  EL MONTE,  CA 91731", EL MONTE,91731, (999) 442-6170,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",48,0,0,"THESING, MICHAEL, 30291 VIA BRISA, TEMECULA, CA 92590"
TREELANE COMMUNITY PARK LLC,LOS ANGELES,19-0728-MP,"1020 BRADBOURNE AVE,  DUARTE,  CA 91010", DUARTE,91010, (818) 358-8116,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",91,0,0,"TREELANE COMMUNITY PARK LLC, 4804 LAUREL CYN BL  #742, VALLEY VILLAGE, CA 91607"
ROBINS PARK,LOS ANGELES,19-0740-MP,"17820 LAKEWOOD BLVD,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (310) 920-0161,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",38,0,0,"EICHE, DENNIS, 24040 CAMINO DEL AVION #PMB 293, MONARCH BEACH, CA 92629"
GARVEY MHP,LOS ANGELES,19-0743-MP,"9540 E GARVEY AVE #0036,  S EL MONTE,  CA 91733", S EL MONTE,91733, (626) 575-3070,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",35,0,0,"GROUP XI PICO RIVERA PROPERTIES, LP, 4900 SANTA ANITA AVE #2C, EL MONTE, CA 91731"
SOMERSET PARK,LOS ANGELES,19-0744-MP,"7530  SOMERSET BLVD,  PARAMOUNT,  CA 90723", PARAMOUNT,90723, (310) 633-6263,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21,0,0,"GREB, MARIE, 13701 ANANADALE DR 13G, SEAL BEACH, CA 90740"
VILLAGE TRAILER PARK,LOS ANGELES,19-0745-MP,"2930 COLORADO AVE,  SANTA MONICA,  CA 90404", SANTA MONICA,90404, (310) 458-8355,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","SANTA MONICA BUILDING DEPARTMENT, MOBILEHOME PARKS PROGRAM, 1685 MAIN STREET RM 111, SANTA MONICA, CA 90401",10,0,0,"MILLENNIUM SANTA MONICA, LLC, 1010 SOUTH COAST HIGHWAY SUITE # 106, ENCINITAS, CA 92024"
WALNUT GROVE MP,LOS ANGELES,19-0751-MP,"2548 S PECK RD,  MONROVIA,  CA 91016", MONROVIA,91016, (818) 358-1566,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",51,0,0,"MONROVIA 50 LLC, PO BOX 1919, RANCHO CUCAMONGA, CA 91729"
WALNUT MHP,LOS ANGELES,19-0752-MP,"9022 S PAINTER AVE,  WHITTIER,  CA 90602", WHITTIER,90602, (310) 696-4541,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",35,0,0,"WALNUT PARK PARTNERSHIP, 17300 RED HILL AVE SUITE # 280, IRVINE, CA 92614"
WESTMONT CT,LOS ANGELES,19-0760-MP,"1622 EL SEGUNDO BLVD,  GARDENA,  CA 90247", GARDENA,90247, (310) 696-4541,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",13,0,0,"COATES, JEFFREY, 1860 W PAGE AVE, FULLERTON, CA 92833"
WHEEL TP,LOS ANGELES,19-0765-MP,"15523 LAKEWOOD BLVD,  PARAMOUNT,  CA 90723", PARAMOUNT,90723, (310) 630-1827,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",29,0,0,"COLE, SUSIE, 15523 LAKEWOOD BLVD, PARAMOUNT, CA 90723"
WHITMAN TP,LOS ANGELES,19-0771-MP,"13515 S. MARIPOSA AVE.,  GARDENA,  CA 90247", GARDENA,90247, (310) 212-6660,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",9,0,0,"TRACEY, JACQUELYN, 2515 SONOMA ST, TORRANCE, CA 90503"
OAKGROVE FAMILY PARK LLC,LOS ANGELES,19-0776-MP,"12753 W SIERRA HWY,  AGUA DULCE,  CA 91350", AGUA DULCE,91350, (818) 881-6633,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",37,0,0,"THE ROGERS FAMILY TRUST, MATTHEW ROGERS 17216 SATICOY ST., #361, VAN NUYS, CA 91406"
VIRGILS MHP,LOS ANGELES,19-0777-MP,"17604 08 S LAKEWOOD BLVD,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (562) 925-5982,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",24,0,0,"ESTATE OF VIRGIL J. CUCULICI, 420 MCKINLEY STREET, STE. 111-368, CORONA, CA 92879"
BELLWOOD MHP,LOS ANGELES,19-0784-MP,"15717 S WOODRUFF AVE,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (562) 866-1813,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",47,0,0,"HALE, JOHN, 1635 AVIATION BLVD, REDONDO BEACH, CA 90278"
WRIGHTS TP,LOS ANGELES,19-0786-MP,"9339 ARTESIA BLVD,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (818) 284-9590,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",8,0,0,"PPS PC PARKS LLC, PO BOX 1687, BELLFLOWER, CA 90707"
CARAVAN TRAILER LODGE,LOS ANGELES,19-0789-MP,"13007 YUKON AVE,  HAWTHORNE,  CA 90250", HAWTHORNE,90250, (310) 406-2200,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",19,0,0,"BARKER, ROD, 2699 PACIFIC COAST HWY SUITE 100, HERMOSA BEACH, CA 90254"
JOSHUA VIEW MHP,LOS ANGELES,19-0792-MP,"6150 E AVE T,  PALMDALE,  CA 93552", PALMDALE,93552, (626) 533-3300,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",76,0,0,"INCOME ESTATES LLC, 449 W FOOTHILL BLVD STE 149, GLENDORA, CA 91741"
PIONEER TP,LOS ANGELES,19-0794-MP,"11713 FIRESTONE BLVD,  NORWALK,  CA 90650", NORWALK,90650, (805) 533-3300,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","NORWALK BUILDING DEPARTMENT, MOBILEHOME PARKS PROGRAM, 12700 SOUTH NORWALK BLVD  RM 12, NORWALK, CA 90650",20,0,0,"CHEN, ZUEIHWA, 5 TURNBERRY, NEWPORT BEACH, CA 92660"
ZEPHYR MHP,LOS ANGELES,19-0795-MP,"11143 S PRAIRIE AVE,  INGLEWOOD,  CA 90303", INGLEWOOD,90303, (310) 673-7140,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",12,0,0,"PATEL, RAMESH, 11143 S. PRAIRIE AVENUE, INGLEWOOD, CA 90303"
PARADISE TP,LOS ANGELES,19-0796-MP,"8069 E GARVEY AVE,  ROSEMEAD,  CA 91770", ROSEMEAD,91770, (626) 280-4711,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",60,0,0,"SAN GARVEY INVESTMENTS, LLC, 227 W. VALLEY BLVD. #308, SAN GABRIEL, CA 91776"
HILLVIEW MOBILE HOME COMMUNITIES,LOS ANGELES,19-0799-MP,"3825 W VALLEY BLVD,  POMONA,  CA 91765", POMONA,91765, (909) 595-3246,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",59,0,0,"HILLVIEW MHC LLC, 6653 EMBARCADERO DR SUITE # C, STOCKTON, CA 95219"
EL RANCHO MHP,LOS ANGELES,19-0803-MP,"44122 N 20TH ST EAST,  LANCASTER,  CA 93535", LANCASTER,93535, (805) 942-2417,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HOUSING AND NEIGHBORHOOD REVITALIZATION, MOBILEHOME PARKS PROGRAM, 44933 NORTH FERN AVENUE, LANCASTER, CA 93534",75,0,0,"KARMA LLC, PO BOX 915, TUSTIN, CA 92781"
ADOBE MHP,LOS ANGELES,19-0804-MP,"9329 E ARTESIA BLVD,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (805) 942-2417,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",13,0,0,"PPS PC PARKS LLC, PO BOX 1687, BELLFLOWER, CA 90707"
ADOBE MHP,LOS ANGELES,19-0805-MP,"1424 W 135TH ST,  GARDENA,  CA 90249", GARDENA,90249, (424) 256-4598,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",53,0,0,"ADOBE OWNERS ASSOCIATION, INC., 1424 W 135TH STREET #C22, GARDENA, CA 90249"
SUNWEST MANUFACTURED HOUSING COMMUNITY,LOS ANGELES,19-0806-MP,"13525 S VERMONT AVE,  GARDENA,  CA 90247", GARDENA,90247, (310) 329-4007,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",38,0,0,"SUNWEST MANUFACTURED HOUSING COMMUNITY LLC, 6653 EMBARCADERO DR SUITE C, STOCKTON, CA 95219"
SHULL GARDENS MHP,LOS ANGELES,19-0808-MP,"5678 SHULL ST,  BELL GARDENS,  CA 90201", BELL GARDENS,90201, (310) 927-1818,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",38,0,0,"SHULL GARDENS MOBILEHOME PARK, 5678 SHULL ST #12, BELL GARDENS, CA 90201"
NORMANDIE MOBILEHOME PARK,LOS ANGELES,19-0810-MP,"21104 S NORMANDIE AVE,  TORRANCE,  CA 90502", TORRANCE,90502, (626) 377-0638,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",54,0,0,"YANG, WAYNE, PO BOX 3363, CITY OF INDUSTRY, CA 91744"
WESTERN SKIES,LOS ANGELES,19-0814-MP,"3157 E AVE I,  LANCASTER,  CA 93535", LANCASTER,93535, (661) 946-4161,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HOUSING AND NEIGHBORHOOD REVITALIZATION, MOBILEHOME PARKS PROGRAM, 44933 NORTH FERN AVENUE, LANCASTER, CA 93534",60,0,0,"CBA SILVER INC, JIM ANDERS 1244 E. ORANGETHORPE, FULLERTON, CA 92831"
SUN TRAILER PARK,LOS ANGELES,19-0815-MP,"12532 LAKEWOOD BLVD,  DOWNEY,  CA 90242", DOWNEY,90242, (562) 862-0119,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",30,0,0,"DOSHI, NAVINCHANDRA, 6418 SPRING PARK AVE, LOS ANGELES, CA 90056"
ROLLINGS HILLS TP,LOS ANGELES,19-0819-MP,"24725 PENNSYLVANIA AVE,  LOMITA,  CA 90717", LOMITA,90717, (310) 530-9501,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",72,0,0,"LINDLEY, DAN, 1815 LOMITA BLVD, LOMITA, CA 90717"
RIO PUENTE TP,LOS ANGELES,19-0820-MP,"6656 ROSECRANS,  PARAMOUNT,  CA 90723", PARAMOUNT,90723, (714) 988-4167,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",87,0,0,"HOMEWOOD REALTY INC, 1121 E PHILADELPHIA ST, ONTARIO, CA 91761"
VANS MOBILEHOME PARK,LOS ANGELES,19-0821-MP,"8723 ARTESIA BLVD RESIDENT LOT #41,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (310) 633-4424,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",90,0,0,"VANS MHP LLC/C, 17300 RED HILL AVE., #280, IRVINE, CA 92614"
CRESTVIEW MHP,LOS ANGELES,19-0822-MP,"1449 E AVE I,  LANCASTER,  CA 93535", LANCASTER,93535, (805) 942-3487,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HOUSING AND NEIGHBORHOOD REVITALIZATION, MOBILEHOME PARKS PROGRAM, 44933 NORTH FERN AVENUE, LANCASTER, CA 93534",101,0,0,"STEELE, WILLIAM, C/O TOWER MANAGEMENT 80 S LAKE AVE SUITE 719, PASADENA, CA 91101"
